,car_full_nm,horsepower_bhp,rpm_horsepower_measure_point,torque_lb_ft,rpm_torque_measure_point,car_0_60_time_seconds,engine_size_cc,engine_size_ci,top_speed_mph,top_speed_kph,horsepower_per_ton_bhp,year,decade,make_nm,car_weight_tons,torque_per_ton
734,Mitsubishi 3000 GT - [1992],282,6000,300.0,3000.0,0.0,2972.0,181.3,155.0,249.0,163.0,1992,1990s,Mitsubishi,1.73006134969325,173.40425531914903
735,Land-Rover Range Rover V8 Vogue - [2002],282,5400,325.0,3600.0,0.0,4398.0,268.3,130.0,209.0,115.5,2002,2000s,Land-Rover,2.44155844155844,133.11170212766
736,BMW 6 Series M635 CSi E24 - [1984],282,6500,246.0,4500.0,0.0,3453.0,210.7,158.0,254.0,187.3,1984,1980s,BMW,1.5056059797116899,163.38936170212799
737,BMW X5 4.4 V8 - [1999],282,5400,325.0,3600.0,0.0,4398.0,268.3,129.0,207.0,129.3,1999,1990s,BMW,2.18097447795824,149.015957446809
738,Volvo XC60 3.0T - [2008],281,5600,295.0,4800.0,0.0,2953.0,180.2,130.0,209.0,95.1,2008,2000s,Volvo,2.95478443743428,99.8380782918149
739,KTM X-Bow GT 2.0 Turbo - [2013],281,6400,310.0,3200.0,4.0,1984.0,121.0,144.0,231.0,331.7,2013,2010s,KTM,0.8471510400964729,365.932384341637
740,Infiniti G35 3.5 V6 X - [2006],280,6200,270.0,4800.0,0.0,3498.0,213.4,155.0,249.0,166.0,2006,2000s,Infiniti,1.68674698795181,160.071428571429
741,Nissan 300ZX 3.0 V6 Turbo - [1990],280,6400,273.0,3600.0,0.0,2960.0,180.6,156.0,251.0,177.2,1990,1990s,Nissan,1.58013544018059,172.77
742,TVR Griffith 4.3 - [1992],280,5500,305.0,4000.0,4.1,4280.0,261.1,167.0,268.0,267.9,1992,1990s,TVR,1.0451661067562499,291.819642857143
743,Lamborghini 350 GT 3.5L V12 - [1964],280,6500,241.0,4500.0,0.0,3464.0,211.3,156.0,251.0,215.8,1964,1960s,Lamborghini,1.2974976830398501,185.742142857143
744,BAC Mono 280bhp - [2011],280,7700,207.0,6000.0,2.8,2261.0,137.9,170.0,273.0,518.5,2011,2010s,BAC,0.5400192864030859,383.31964285714304
745,Ferrari 340 Mexico - [1952],280,6600,228.0,4500.0,0.0,4102.0,250.3,142.0,228.0,311.1,1952,1950s,Ferrari,0.9000321440051429,253.324285714286
746,Audi V8 4.2 V8 Quattro - [1991],280,5800,295.0,4000.0,0.0,4172.0,254.5,155.0,249.0,163.5,1991,1990s,Audi,1.71253822629969,172.25892857142898
747,Honda NSX 3.2 V6 - [1998],279,7300,224.0,5300.0,0.0,3179.0,193.9,170.0,273.0,197.8,1998,1990s,Honda,1.41051567239636,158.807168458781
748,BMW M1 3.5 2d Manual - [1978],277,6500,239.0,5000.0,0.0,3500.0,213.5,161.0,259.0,212.5,1978,1970s,BMW,1.30352941176471,183.348375451264
749,Lotus Evora 3.5 V6 - [2009],276,6400,252.0,4700.0,0.0,3456.0,210.8,160.0,257.0,204.4,2009,2000s,Lotus,1.3502935420743603,186.626086956522
750,Mitsubishi Lancer Evo VI GSR - [2000],276,6500,275.0,3750.0,4.4,1997.0,121.8,150.0,241.0,202.1,2000,2000s,Mitsubishi,1.36566056407719,201.367753623188
751,Mitsubishi Lancer Evo VI Tommi Makinen - [2000],276,6500,275.0,2750.0,4.3,1997.0,121.8,150.0,241.0,202.1,2000,2000s,Mitsubishi,1.36566056407719,201.367753623188
752,Mitsubishi Lancer Evo VII GSR - [2002],276,6500,282.0,3500.0,0.0,1997.0,121.8,157.0,252.0,197.1,2002,2000s,Mitsubishi,1.4003044140030398,201.38478260869599
753,Mitsubishi Lancer Evo VIII GSR - [2003],276,6500,289.0,3500.0,0.0,1997.0,121.8,157.0,252.0,195.7,2003,2000s,Mitsubishi,1.4103219213081202,204.91775362318802
754,Nissan 350Z Coupe - [2003],276,6200,268.0,4800.0,0.0,3498.0,213.4,155.0,249.0,180.9,2003,2000s,Nissan,1.5257048092868999,175.65652173913003
755,Nissan Skyline R33 GTR - [1993],276,6800,289.0,4400.0,0.0,2569.0,156.7,155.0,249.0,180.3,1993,1990s,Nissan,1.5307820299500803,188.792391304348
756,Nissan Skyline R34 GTR - [1999],276,6800,289.0,4400.0,4.6,2569.0,156.7,156.0,251.0,179.2,1999,1990s,Nissan,1.54017857142857,187.640579710145
757,Subaru Impreza WRX STI - Classic 22B - [1998],276,6500,268.0,4000.0,0.0,2212.0,134.9,154.0,247.0,217.3,1998,1990s,Subaru,1.27013345605154,211.001449275362
758,Subaru Impreza P1 - Classic - [2000],276,6500,260.0,4000.0,4.7,1994.0,121.6,150.0,241.0,213.1,2000,2000s,Subaru,1.29516658845612,200.74637681159402
759,Subaru Impreza WRX STI Type UK - Hawkeye - [2006],276,6000,289.0,4000.0,0.0,2457.0,149.9,158.0,254.0,184.6,2006,2000s,Subaru,1.4951245937161397,193.294927536232
760,Vauxhall-Opel Vectra 2.8T V6 VXR - [2007],276,5500,262.0,1800.0,0.0,2792.0,170.3,161.0,259.0,174.6,2007,2000s,Vauxhall-Opel,1.5807560137456997,165.74347826087
761,Subaru Impreza WRX - Classic (JDM) - [1996],276,6500,242.0,4000.0,4.7,1994.0,121.6,135.0,217.0,220.8,1996,1990s,Subaru,1.25,193.6
762,Subaru Impreza WRX Type RA - Classic (JDM) - [1996],276,6500,242.0,4000.0,4.5,1994.0,121.6,135.0,217.0,231.9,1996,1990s,Subaru,1.1901681759379,203.332608695652
763,Subaru Impreza WRX - Classic (JDM) - [1997],276,6500,260.0,4000.0,4.7,1994.0,121.6,135.0,217.0,231.9,1997,1990s,Subaru,1.1901681759379,218.45652173913
764,Subaru Impreza WRX STI V3 - Classic (JDM) - [1996],276,6500,253.0,4000.0,4.5,1994.0,121.6,135.0,217.0,231.9,1996,1990s,Subaru,1.1901681759379,212.575
765,Subaru Impreza WRX STI V4 - Classic (JDM) - [1997],276,6500,260.0,4000.0,4.7,1994.0,121.6,135.0,217.0,231.9,1997,1990s,Subaru,1.1901681759379,218.45652173913
766,Subaru Impreza WRX STI V3 V-Limited - Classic (JDM) - [1997],276,6500,253.0,4000.0,4.7,1994.0,121.6,135.0,217.0,231.9,1997,1990s,Subaru,1.1901681759379,212.575
767,Subaru Impreza WRX STI V3 Type R - JDM - Classic - [1997],276,6500,253.0,4000.0,4.7,1994.0,121.6,135.0,217.0,231.9,1997,1990s,Subaru,1.1901681759379,212.575
768,Subaru Impreza WRX STI V5 V-Limited - Classic (JDM) - [1998],276,6500,260.0,4000.0,4.7,1994.0,121.6,135.0,217.0,231.9,1998,1990s,Subaru,1.1901681759379,218.45652173913
769,Subaru Impreza WRX STI V5 Type RA - JDM - Classic - [1998],276,6500,260.0,4000.0,4.7,1994.0,121.6,135.0,217.0,231.9,1998,1990s,Subaru,1.1901681759379,218.45652173913
770,Subaru Impreza WRX STI V5 Type R - JDM - Classic - [1998],276,6500,260.0,4000.0,4.7,1994.0,121.6,135.0,217.0,231.9,1998,1990s,Subaru,1.1901681759379,218.45652173913
771,Subaru Impreza WRX - Classic (JDM) - [1999],276,6500,250.0,4000.0,4.7,1994.0,121.6,135.0,217.0,231.9,1999,1990s,Subaru,1.1901681759379,210.054347826087
772,Subaru Impreza WRX STI V6 - Classic (JDM) - [1999],276,6500,250.0,4000.0,4.7,1994.0,121.6,135.0,217.0,231.9,1999,1990s,Subaru,1.1901681759379,210.054347826087
773,Subaru Impreza WRX STI V6 Type RA - JDM - Classic - [1999],276,6500,250.0,4000.0,4.7,1994.0,121.6,135.0,217.0,231.9,1999,1990s,Subaru,1.1901681759379,210.054347826087
774,Honda NSX R 3.0 V6 - [1995],276,7300,217.0,5400.0,0.0,2977.0,181.6,163.0,262.0,224.3,1995,1990s,Honda,1.23049487293803,176.35181159420299
775,Nissan Skyline R32 GTR - [1990],276,6800,260.0,4400.0,0.0,2569.0,156.7,156.0,251.0,193.0,1990,1990s,Nissan,1.4300518134715,181.81159420289902
776,Mazda RX7 RZ - [1998],276,6500,232.0,5000.0,0.0,2616.0,159.6,162.0,260.0,217.3,1998,1990s,Mazda,1.27013345605154,182.657971014493
777,Mazda RX7 Type-R Bathurst - [2002],276,6500,232.0,5000.0,4.7,2616.0,159.6,160.0,257.0,219.0,2002,2000s,Mazda,1.2602739726027399,184.086956521739
778,Vauxhall-Opel Astra OPC 2.0 Turbo - [2012],276,5500,295.0,2500.0,0.0,1998.0,121.9,155.0,249.0,178.0,2012,2010s,Vauxhall-Opel,1.5505617977528101,190.25362318840598
779,Mitsubishi Lancer Evo V GSR - [1998],276,6500,275.0,3000.0,4.7,1997.0,121.8,147.0,236.0,202.9,1998,1990s,Mitsubishi,1.3602759980285901,202.16485507246398
780,Mitsubishi Lancer Evo IV RS - [1996],276,6500,260.0,3000.0,4.3,1997.0,121.8,147.0,236.0,219.0,1996,1990s,Mitsubishi,1.2602739726027399,206.304347826087
781,Mitsubishi Pajero | Shogun Evolution 3.5 V6 - [1997],276,6500,257.0,3000.0,0.0,0.0,0.0,130.0,209.0,140.1,1997,1990s,Mitsubishi,1.9700214132762301,130.45543478260902
782,Nissan 300ZX Version S Twin Turbo - [1998],276,6400,286.0,3600.0,0.0,2960.0,180.6,155.0,249.0,181.5,1998,1990s,Nissan,1.52066115702479,188.07608695652198
783,Toyota Mark II 2.5 Tourer V - [1998],276,6200,279.0,2400.0,0.0,2492.0,152.0,145.0,233.0,186.4,1998,1990s,Toyota,1.48068669527897,188.426086956522
784,Buick Regal GNX 3.8 V6 Turbo - [1987],276,4400,360.0,3000.0,0.0,3791.0,231.3,124.0,199.0,175.1,1987,1980s,Buick,1.5762421473443702,228.391304347826
785,Ferrari 275 GTB 3.3 V12 - [1963],276,7600,217.0,5000.0,0.0,3286.0,200.5,153.0,246.0,251.3,1963,1960s,Ferrari,1.0982888977317902,197.580072463768
786,Mercedes C Class 36 AMG - [1993],276,5750,284.0,4000.0,0.0,3606.0,220.0,155.0,249.0,176.9,1993,1990s,Mercedes,1.56020350480497,182.027536231884
787,Studebaker Golden Hawk 5.8L V8 (352) - [1956],275,4600,380.0,2800.0,0.0,5768.0,351.9,130.0,209.0,180.4,1956,1950s,Studebaker,1.5243902439024402,249.28
788,Mercedes CLK 430 4.3 V8 - [2001],275,5750,295.0,3000.0,0.0,4266.0,260.3,155.0,249.0,176.8,2001,2000s,Mercedes,1.55542986425339,189.658181818182
789,TVR 390 SE 3.9l V8 - [1985],275,5500,270.0,3500.0,0.0,3905.0,238.2,144.0,231.0,248.4,1985,1980s,TVR,1.1070853462157801,243.88363636363601
790,Dodge Dart Demon Sport Coupe 5.5 V8 340 - [1971],275,5000,340.0,3200.0,0.0,5563.0,339.4,128.0,205.0,183.3,1971,1970s,Dodge,1.50027277686852,226.62545454545503
791,Mercedes E Class 400 W124 - [1993],275,5700,295.0,3900.0,0.0,4196.0,256.0,155.0,249.0,169.7,1993,1990s,Mercedes,1.6205067766646999,182.041818181818
792,Volkswagen(VW) Passat 4.0 W8 4Motion - [2001],272,6000,273.0,2750.0,0.0,3999.0,244.0,155.0,249.0,171.2,2001,2000s,Volkswagen(VW),1.5887850467289701,171.829411764706
793,Jaguar E Type 5.3L V12 2+2 - [1971],272,5850,304.0,3600.0,0.0,5344.0,326.1,142.0,228.0,181.4,1971,1970s,Jaguar,1.49944873208379,202.741176470588
794,Jaguar XF 3.0d V6 Auto - [2009],271,4000,443.0,2000.0,0.0,2993.0,182.6,155.0,249.0,144.1,2009,2000s,Jaguar,1.88063844552394,235.558302583026
795,Subaru Impreza WRX STI V2 - Classic (JDM) - [1995],271,6500,235.0,4000.0,0.0,1994.0,121.6,135.0,217.0,218.5,1995,1990s,Subaru,1.24027459954233,189.474169741697
796,Jaguar XF 3.0D S - [2011],271,4000,443.0,2000.0,0.0,2993.0,182.6,155.0,249.0,149.7,2011,2010s,Jaguar,1.81028724114896,244.71254612546102
797,Jaguar XJ 3.0D V6 600 LWB - [2009],271,4000,443.0,2000.0,0.0,2993.0,182.6,155.0,249.0,149.4,2009,2000s,Jaguar,1.81392235609103,244.22214022140201
798,Audi A8 4.0 TDI Quattro - [2003],271,3750,479.0,1800.0,0.0,3936.0,240.1,155.0,249.0,139.6,2003,2000s,Audi,1.9412607449856698,246.74686346863498
799,Porsche Cayman 2.7l - [2012],271,7400,214.0,4500.0,0.0,2706.0,165.1,165.0,265.0,206.8,2012,2010s,Porsche,1.31044487427466,163.30332103321
800,Ford Mustang Hardtop 289 4.7 V8 - [1965],271,6000,312.0,3400.0,0.0,4727.0,288.4,120.0,193.0,195.9,1965,1960s,Ford,1.38335885655947,225.538007380074
801,Nissan Altima Coupe 3.5 SE - [2008],270,6000,258.0,4400.0,0.0,3498.0,213.4,155.0,249.0,182.5,2008,2000s,Nissan,1.4794520547945202,174.388888888889
802,Honda NSX 3.0 V6 - [1990],270,7300,210.0,6500.0,0.0,2977.0,181.6,168.0,270.0,197.8,1990,1990s,Honda,1.36501516683519,153.844444444444
803,Ariel Atom Mugen - [2012],270,8300,188.0,6000.0,2.9,1998.0,121.9,150.0,241.0,490.9,2012,2010s,Ariel,0.550010185373803,341.811851851852
804,Ferrari Mondial 3.2l V8 - [1986],270,7000,224.0,5500.0,0.0,3186.0,194.4,155.0,249.0,191.4,1986,1980s,Ferrari,1.41065830721003,158.79111111111098
805,Chevrolet Corvette C3 Stingray 454 (7.4 V8) - [1972],270,4000,390.0,3200.0,0.0,7440.0,454.0,107.0,172.0,173.2,1972,1970s,Chevrolet,1.55889145496536,250.177777777778
806,Ferrari 328 GTB 3.2 V8 - [1986],270,7000,224.0,5500.0,0.0,3186.0,194.4,163.0,262.0,213.7,1986,1980s,Ferrari,1.2634534394010302,177.291851851852
807,Ferrari 328 GTS 3.2 V8 - [1986],270,7000,224.0,5500.0,0.0,3186.0,194.4,163.0,262.0,212.0,1986,1980s,Ferrari,1.2735849056603799,175.88148148148102
808,Audi TT S 2.0T 270 - [2008],268,6000,258.0,5000.0,0.0,1984.0,121.0,155.0,249.0,192.1,2008,2000s,Audi,1.39510671525247,184.932089552239
809,BMW 5 Series 535d M-Sport Saloon Auto E60 - [2004],268,4400,412.0,2000.0,0.0,2993.0,182.6,155.0,249.0,155.5,2004,2000s,BMW,1.7234726688102902,239.05223880597
810,Honda Accord Coupe EX-L - [2008],268,6200,248.0,5000.0,0.0,3471.0,211.8,155.0,249.0,173.4,2008,2000s,Honda,1.5455594002306798,160.459701492537
811,Mitsubishi Galant VR4 Type S - [2000],268,4000,276.0,5500.0,0.0,2498.0,152.4,150.0,241.0,176.3,2000,2000s,Mitsubishi,1.5201361315938702,181.562686567164
812,Land-Rover Range Rover Sport 3.6 TDV8 - [2006],268,4000,472.0,2000.0,0.0,3630.0,221.5,130.0,209.0,100.1,2006,2000s,Land-Rover,2.67732267732268,176.29552238806
813,Volvo S80 T6 3.0 Turbo - [2003],268,5200,280.0,1800.0,0.0,2992.0,182.5,155.0,249.0,170.3,2003,2000s,Volvo,1.57369348209043,177.925373134328
814,Lexus ES 350 - [2012],268,6200,248.0,4700.0,0.0,3456.0,210.8,130.0,209.0,166.4,2012,2010s,Lexus,1.61057692307692,153.982089552239
815,Mitsubishi Lancer Evo III - [1995],266,6250,228.0,3000.0,4.5,1997.0,121.8,147.0,236.0,211.1,1995,1990s,Mitsubishi,1.26006631927996,180.942857142857
816,Volkswagen(VW) Golf 2.0 R DSG - [2009],266,6000,258.0,2500.0,0.0,1984.0,121.0,155.0,249.0,181.4,2009,2000s,Volkswagen(VW),1.4663726571113602,175.94436090225602
817,Lamborghini Urraco 3.0L V8 P300 - [1974],265,7800,203.0,3400.0,0.0,2996.0,182.8,165.0,265.0,207.0,1974,1970s,Lamborghini,1.28019323671498,158.569811320755
818,Ford Mustang 4th Gen Bullitt GT - [2001],265,5000,305.0,4000.0,0.0,4301.0,262.4,152.0,244.0,176.0,2001,2000s,Ford,1.5056818181818201,202.566037735849
819,Renault Megane RenaultSport 2.0T 265 - [2012],265,550,266.0,3000.0,0.0,1998.0,121.9,158.0,254.0,191.0,2012,2010s,Renault,1.38743455497382,191.72075471698102
820,Jaguar E Type 3.8L Roadster - [1961],265,5500,260.0,4000.0,0.0,3781.0,230.7,149.0,239.0,217.2,1961,1960s,Jaguar,1.22007366482505,213.101886792453
821,Jaguar E Type 3.8l Coupe - [1961],265,5500,260.0,4000.0,0.0,3781.0,230.7,150.0,241.0,214.7,1961,1960s,Jaguar,1.2342803912436,210.649056603774
822,BMW 3 Series 335d E90 - [2010],265,4200,425.0,1750.0,0.0,2993.0,182.6,130.0,209.0,152.7,2010,2010s,BMW,1.73542894564506,244.896226415094
823,Jaguar E Type 2+2 4.2L - [1966],265,5400,284.0,4000.0,0.0,4235.0,258.4,150.0,241.0,212.8,1966,1960s,Jaguar,1.2453007518797,228.05735849056597
824,Jaguar Mark X 4.2L Overdrive - [1964],265,5400,283.0,4000.0,0.0,4235.0,258.4,123.0,197.0,144.1,1964,1960s,Jaguar,1.8390006939625299,153.887924528302
825,Jaguar XJ 12 5.3 - [1972],265,6000,301.0,3500.0,0.0,5344.0,326.1,145.0,233.0,141.7,1972,1970s,Jaguar,1.87014820042343,160.949811320755
826,Pontiac Firebird 350 - [1969],265,4600,355.0,2800.0,0.0,5798.0,353.8,120.0,193.0,180.0,1969,1960s,Pontiac,1.47222222222222,241.132075471698
827,Lotus Esprit S3 Turbo SE - [1989],264,6500,260.0,3900.0,0.0,2174.0,132.6,159.0,255.0,198.6,1989,1980s,Lotus,1.3293051359516599,195.590909090909
828,Caterham 7 Superlight R500 - [2009],263,8500,177.0,7200.0,2.9,1999.0,121.9,150.0,241.0,519.7,2009,2000s,Caterham,0.506061189147585,349.760076045627
829,Mitsubishi Eclipse GT 3.8 V6 - [2008],263,5750,260.0,4500.0,0.0,3828.0,233.5,155.0,249.0,163.1,2008,2000s,Mitsubishi,1.6125076640098102,161.239543726236
830,Mazda 3 2.3 Mazdaspeed - [2011],263,5500,280.0,3000.0,0.0,2261.0,137.9,155.0,249.0,176.7,2011,2010s,Mazda,1.48839841539332,188.121673003802
831,Audi A4 S4 2.7T Quattro - [1997],261,7000,295.0,6000.0,0.0,2716.0,165.7,153.0,246.0,167.0,1997,1990s,Audi,1.56287425149701,188.754789272031
832,BMW Z4 3.0si Sport 2d - [2006],261,6600,232.0,2750.0,0.0,2996.0,182.8,155.0,249.0,188.4,2006,2000s,BMW,1.38535031847134,167.466666666667
833,Mitsubishi Lancer Evo VIII 260 - [2003],261,6500,262.0,3500.0,0.0,1997.0,121.8,152.0,244.0,177.5,2003,2000s,Mitsubishi,1.47042253521127,178.18007662835203
834,Volkswagen(VW) Scirocco R 2.0 Turbo - [2009],261,6000,258.0,2500.0,0.0,1984.0,121.0,155.0,249.0,194.1,2009,2000s,Volkswagen(VW),1.34466769706337,191.86896551724098
835,Subaru Forester STi 2.5L Turbo - [2006],261,5600,279.0,3600.0,0.0,2457.0,149.9,140.0,225.0,174.0,2006,2000s,Subaru,1.5,186.0
836,Audi A3 S3 2.0T - [2008],261,6000,258.0,2500.0,0.0,1984.0,121.0,155.0,249.0,179.3,2008,2000s,Audi,1.4556609035136598,177.23908045977
837,Seat Leon Cupra R 2.0 20v - [2009],261,6000,258.0,2500.0,0.0,1984.0,121.0,155.0,249.0,189.8,2009,2000s,Seat,1.37513171759747,187.618390804598
838,Renault Megane RenaultSport 2.0T 265 Cup - [2012],261,5500,266.0,3000.0,0.0,1998.0,121.9,158.0,254.0,188.1,2012,2010s,Renault,1.3875598086124399,191.703448275862
839,Caterham 7 CSR 260 - [2005],260,7500,200.0,6000.0,3.9,2261.0,137.9,155.0,249.0,452.1,2005,2000s,Caterham,0.5750940057509399,347.76923076923106
840,Porsche Boxster 3.2 S 260 - [1999],260,6200,228.0,4700.0,0.0,3179.0,193.9,164.0,263.0,196.9,1999,1990s,Porsche,1.32046724225495,172.66615384615397
841,Maserati Indy Tipo 116 4.1L V8 - [1969],260,5500,267.0,3800.0,0.0,4136.0,252.3,140.0,225.0,164.3,1969,1960s,Maserati,1.58247108947048,168.723461538462
842,Ford Taurus AWD 3.5 V6 - [2007],260,6250,245.0,4500.0,0.0,3496.0,213.3,115.0,185.0,150.2,2007,2000s,Ford,1.73102529960053,141.534615384615
843,Chevrolet Cobalt SS 2.0 Turbo - [2008],260,5300,260.0,2000.0,0.0,1998.0,121.9,160.0,257.0,192.7,2008,2000s,Chevrolet,1.34924753502854,192.7
844,Subaru Forester STi (tS) 2.5L Turbo - [2012],259,6000,256.0,2800.0,0.0,2457.0,149.9,142.0,228.0,168.1,2012,2010s,Subaru,1.5407495538370002,166.152895752896
845,BMW 3 Series 330i M-Sport Manual E90 - [2005],258,6600,221.0,2500.0,0.0,2996.0,182.8,155.0,249.0,169.1,2005,2000s,BMW,1.5257244234181002,144.849224806202
846,Alfa-Romeo Brera 3.2 V6 Qtronic - [2006],256,6200,237.0,4500.0,0.0,3195.0,194.9,149.0,239.0,155.1,2006,2000s,Alfa-Romeo,1.65054803352676,143.588671875
847,Alfa-Romeo Spider 3.2 V6 Q4 - [2007],256,6200,237.0,4500.0,0.0,3195.0,194.9,152.0,244.0,151.4,2007,2000s,Alfa-Romeo,1.69088507265522,140.16328125
848,Mazda 3 MPS 2.3T - [2007],256,5500,280.0,3000.0,0.0,2261.0,137.9,155.0,249.0,172.6,2007,2000s,Mazda,1.48319814600232,188.78125
849,Mazda 6 MPS 2.3T - [2007],256,5500,280.0,3000.0,0.0,2261.0,137.9,149.0,239.0,153.7,2007,2000s,Mazda,1.6655823031880301,168.109375
850,MG ZT 4.6 V8 260 - [2003],256,5000,302.0,4000.0,0.0,4601.0,280.7,155.0,249.0,152.3,2003,2000s,MG,1.6808929743926497,179.66640625
851,Subaru Impreza WRX - Classic (JDM) - [1994],256,6500,228.0,4000.0,0.0,1994.0,121.6,135.0,217.0,213.3,1994,1990s,Subaru,1.20018752930145,189.9703125
852,Subaru Impreza WRX Type RA - Classic (JDM) - [1994],256,6500,228.0,4000.0,4.7,1994.0,121.6,135.0,217.0,218.8,1994,1990s,Subaru,1.17001828153565,194.86875
853,Subaru Impreza WRX STI V2 - Classic (JDM) Wagon - [1995],256,6500,228.0,5000.0,0.0,1994.0,121.6,135.0,217.0,200.0,1995,1990s,Subaru,1.28,178.125
854,Volkswagen(VW) Golf R 2.0 Turbo - [2012],256,6000,243.0,2400.0,0.0,1984.0,121.0,130.0,209.0,169.7,2012,2010s,Volkswagen(VW),1.5085444902769598,161.082421875
855,Mitsubishi Lancer Evo II - [1994],256,6000,228.0,3000.0,0.0,1997.0,121.8,135.0,217.0,204.8,1994,1990s,Mitsubishi,1.25,182.4
856,Alfa-Romeo 159 3.2 V6 Q4 - [2005],256,6200,237.0,4500.0,0.0,3195.0,194.9,149.0,239.0,147.1,2005,2000s,Alfa-Romeo,1.74031271244052,136.182421875
857,Ferrari 275 GTS 3.3 V12 - [1965],256,7000,217.0,5000.0,0.0,3286.0,200.5,150.0,241.0,222.2,1965,1960s,Ferrari,1.15211521152115,188.34921875
858,Alfa-Romeo Brera JTS 3.2 V6 24v - [2010],256,6200,237.0,4500.0,0.0,3195.0,194.9,155.0,249.0,158.5,2010,2010s,Alfa-Romeo,1.6151419558359599,146.736328125
859,Honda NSX 3.0 V6 Auto - [1998],255,6600,209.0,5400.0,0.0,2977.0,181.6,162.0,260.0,178.3,1998,1990s,Honda,1.4301738642736999,146.136078431373
860,Mazda RX7 FD Turbo - [1993],255,6500,217.0,5000.0,0.0,1308.0,79.8,156.0,251.0,194.6,1993,1990s,Mazda,1.3103802672148002,165.600784313725
861,Toyota Celica GT Four ST205 - [1994],255,6000,224.0,4000.0,0.0,1998.0,121.9,152.0,244.0,183.4,1994,1990s,Toyota,1.3904034896401298,161.10431372549
862,Chevrolet Corvette C3 Stingray ZR-1 - [1972],255,5600,280.0,4000.0,0.0,5733.0,349.8,119.0,191.0,170.1,1972,1970s,Chevrolet,1.4991181657848303,186.77647058823501
863,Ford Mustang Mach 1 351 4 Speed - [1969],254,4600,355.0,2600.0,0.0,5766.0,351.8,122.0,196.0,168.7,1969,1960s,Ford,1.5056312981624198,235.78149606299198
864,Ferrari 208 Turbo 2.0L V8 - [1986],254,6500,242.0,4100.0,0.0,1991.0,121.4,157.0,252.0,224.3,1986,1980s,Ferrari,1.13241194828355,213.703149606299
865,Porsche Macan 3.0 Diesel S Sport - [2013],254,4000,428.0,1750.0,0.0,2967.0,181.0,143.0,230.0,135.1,2013,2010s,Porsche,1.8800888230939998,227.64881889763802
866,Jaguar E Type 5.3 V12 - [1972],253,6000,288.0,3500.0,0.0,5344.0,326.1,135.0,217.0,165.3,1972,1970s,Jaguar,1.53055051421658,188.167588932806
867,Radical SR3 1.5 16V - [2001],252,0,158.0,0.0,3.8,1500.0,91.5,147.0,236.0,541.9,2001,2000s,Radical,0.46503044842221797,339.762698412698
868,Renault Clio 3.0 V6 255 - [2001],252,7150,221.0,4650.0,0.0,2946.0,179.7,153.0,246.0,180.0,2001,2000s,Renault,1.4,157.857142857143
869,Lotus 2-Eleven 1.8 Supercharged - [2007],252,8000,178.0,7000.0,3.8,1796.0,109.5,156.0,251.0,338.2,2007,2000s,Lotus,0.7451212300413961,238.887301587302
870,Ferrari 308 GT/4 3.0L V8 - [1973],252,7600,209.0,5000.0,0.0,2927.0,178.6,160.0,257.0,199.2,1973,1970s,Ferrari,1.26506024096386,165.209523809524
871,Audi A3 S3 2.0TFSI Quattro - [2007],252,6000,243.0,2400.0,0.0,1984.0,121.0,155.0,249.0,173.1,2007,2000s,Audi,1.4558058925476598,166.917857142857
872,Ford Thunderbird 4.0L V8 - [2001],252,6100,267.0,4300.0,0.0,3950.0,241.0,150.0,241.0,147.1,2001,2000s,Ford,1.7131203263086299,155.855952380952
873,Saab 9-3 2.8 V6 Aero - [2006],251,5500,258.0,2000.0,0.0,2792.0,170.3,155.0,249.0,163.5,2006,2000s,Saab,1.5351681957186498,168.059760956175
874,Subaru Impreza WRX S - [2008],251,5400,288.0,3000.0,0.0,2457.0,149.9,130.0,209.0,179.9,2008,2000s,Subaru,1.3952195664257898,206.419123505976
875,Ferrari 308 GTB - [1975],251,7600,209.0,5000.0,0.0,2927.0,178.6,155.0,249.0,230.2,1975,1970s,Ferrari,1.09035621198957,191.680478087649
876,Volvo S60 T5 2.5 Turbo - [2013],251,5400,266.0,1800.0,0.0,2497.0,152.3,152.0,244.0,152.1,2013,2010s,Volvo,1.65023011176857,161.189641434263
877,Ford RS200 1.8T 16V - [1985],250,6000,207.0,4500.0,0.0,1804.0,110.0,142.0,228.0,211.8,1985,1980s,Ford,1.18035882908404,175.3704
878,Maserati 430 2.8 V6 - [1988],250,6000,275.0,3000.0,0.0,2790.0,170.2,149.0,239.0,211.8,1988,1980s,Maserati,1.18035882908404,232.98
879,Porsche 944 Turbo - [1989],250,6000,259.0,4000.0,0.0,2479.0,151.2,162.0,260.0,176.5,1989,1980s,Porsche,1.41643059490085,182.854
880,Renault Alpine A610 3.0 V6 Turbo - [1992],250,5750,258.0,2900.0,0.0,2975.0,181.5,160.0,257.0,176.0,1992,1990s,Renault,1.42045454545455,181.632
881,Volvo S60 T5 2.4 Turbo - [2000],250,5200,246.0,2400.0,0.0,2401.0,146.5,155.0,249.0,156.2,2000,2000s,Volvo,1.60051216389245,153.7008
882,Westfield Sport 2000S - [2004],250,7500,192.0,6000.0,3.2,1998.0,121.9,148.0,238.0,454.5,2004,2000s,Westfield,0.5500550055005501,349.056
883,Ford Focus 2.0 ST-3 - [2011],250,3000,251.0,1750.0,0.0,1999.0,121.9,154.0,247.0,183.5,2011,2010s,Ford,1.3623978201634899,184.234
